filename,width,height,resolution,magnification,tif_cksum,tif_size,us_wsi_url,us_tif_url,us_jpg_url,eu_wsi_url,eu_tif_url,eu_jpg_url,asia_wsi_url,asia_tif_url,asia_jpg_url
C18_B088_S18.tif,47616,28416,0.22602955996990204,40,750682010,58326938,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B088_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B088_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B088_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B088_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B088_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B088_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B088_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B088_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B088_S18.jpg
C18_B087_S18.tif,23808,13312,0.22602955996990204,40,1433894426,18917080,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B087_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B087_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B087_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B087_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B087_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B087_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B087_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B087_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B087_S18.jpg
C18_B085_S18.tif,27776,22784,0.22602955996990204,40,730924331,40909124,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B085_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B085_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B085_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B085_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B085_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B085_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B085_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B085_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B085_S18.jpg
C18_B084_S18.tif,35712,16384,0.22602955996990204,40,1464144873,43482510,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B084_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B084_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B084_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B084_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B084_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B084_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B084_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B084_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B084_S18.jpg
C18_B083_S18.tif,23808,26624,0.22602955996990204,40,3926963561,42302808,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B083_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B083_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B083_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B083_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B083_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B083_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B083_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B083_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B083_S18.jpg
C18_B082_S18.tif,15872,13056,0.22602955996990204,40,4261015607,21895356,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B082_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B082_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B082_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B082_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B082_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B082_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B082_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B082_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B082_S18.jpg
C18_B081_S18.tif,19840,15872,0.22602955996990204,40,3939214319,23870566,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B081_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B081_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B081_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B081_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B081_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B081_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B081_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B081_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B081_S18.jpg
C18_B080_S18.tif,103168,85504,0.22602955996990204,40,2368291542,834561034,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B080_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B080_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B080_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B080_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B080_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B080_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B080_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B080_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B080_S18.jpg
C18_B079_S18.tif,23808,13312,0.22602955996990204,40,4051103170,31641162,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B079_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B079_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B079_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B079_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B079_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B079_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B079_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B079_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B079_S18.jpg
C18_B078_S18.tif,19840,17664,0.22602955996990204,40,3025704049,27418326,s3://drivendata-competition-sfp-public/unlabeled/wsi_images/C18_B078_S18.ndpi,s3://drivendata-competition-sfp-public/unlabeled/tif_images/C18_B078_S18.tif,s3://drivendata-competition-sfp-public/unlabeled/downsampled_images/C18_B078_S18.jpg,s3://drivendata-competition-sfp-public-eu/unlabeled/wsi_images/C18_B078_S18.ndpi,s3://drivendata-competition-sfp-public-eu/unlabeled/tif_images/C18_B078_S18.tif,s3://drivendata-competition-sfp-public-eu/unlabeled/downsampled_images/C18_B078_S18.jpg,s3://drivendata-competition-sfp-public-asia/unlabeled/wsi_images/C18_B078_S18.ndpi,s3://drivendata-competition-sfp-public-asia/unlabeled/tif_images/C18_B078_S18.tif,s3://drivendata-competition-sfp-public-asia/unlabeled/downsampled_images/C18_B078_S18.jpg
